srgb_byte,float_upload,previous_8bit_quantization
0,0.0,0.0
1,0.000304,0.0
2,0.000607,0.0
3,0.000911,0.0
4,0.001214,0.0
5,0.001518,0.0
6,0.001821,0.0
7,0.002125,0.00392156862745098
8,0.002428,0.00392156862745098
9,0.002732,0.00392156862745098
10,0.003035,0.00392156862745098
11,0.003347,0.00392156862745098
12,0.003677,0.00392156862745098
13,0.004025,0.00392156862745098
14,0.004391,0.00392156862745098
15,0.004777,0.00392156862745098
16,0.005182,0.00392156862745098
17,0.005605,0.00392156862745098
18,0.006049,0.00784313725490196
19,0.006512,0.00784313725490196
20,0.006995,0.00784313725490196
21,0.007499,0.00784313725490196
22,0.008023,0.00784313725490196
23,0.008568,0.00784313725490196
24,0.009134,0.00784313725490196
25,0.009721,0.00784313725490196
26,0.01033,0.011764705882352941
27,0.01096,0.011764705882352941
28,0.011612,0.011764705882352941
29,0.012286,0.011764705882352941
30,0.012983,0.011764705882352941
31,0.013702,0.011764705882352941
32,0.014444,0.01568627450980392
33,0.015209,0.01568627450980392
34,0.015996,0.01568627450980392
35,0.016807,0.01568627450980392
36,0.017642,0.01568627450980392
37,0.0185,0.0196078431372549
38,0.019382,0.0196078431372549
39,0.020289,0.0196078431372549
40,0.021219,0.0196078431372549
41,0.022174,0.023529411764705882
42,0.023153,0.023529411764705882
43,0.024158,0.023529411764705882
44,0.025187,0.023529411764705882
45,0.026241,0.027450980392156862
46,0.027321,0.027450980392156862
47,0.028426,0.027450980392156862
48,0.029557,0.03137254901960784
49,0.030713,0.03137254901960784
50,0.031896,0.03137254901960784
51,0.033105,0.03137254901960784
52,0.03434,0.03529411764705882
53,0.035601,0.03529411764705882
54,0.036889,0.03529411764705882
55,0.038204,0.0392156862745098
56,0.039546,0.0392156862745098
57,0.040915,0.0392156862745098
58,0.042311,0.043137254901960784
59,0.043735,0.043137254901960784
60,0.045186,0.047058823529411764
61,0.046665,0.047058823529411764
62,0.048172,0.047058823529411764
63,0.049707,0.050980392156862744
64,0.051269,0.050980392156862744
65,0.052861,0.050980392156862744
66,0.05448,0.054901960784313725
67,0.056128,0.054901960784313725
68,0.057805,0.058823529411764705
69,0.059511,0.058823529411764705
70,0.061246,0.06274509803921569
71,0.06301,0.06274509803921569
72,0.064803,0.06666666666666667
73,0.066626,0.06666666666666667
74,0.068478,0.06666666666666667
75,0.07036,0.07058823529411765
76,0.072272,0.07058823529411765
77,0.074214,0.07450980392156863
78,0.076185,0.07450980392156863
79,0.078187,0.0784313725490196
80,0.08022,0.0784313725490196
81,0.082283,0.08235294117647059
82,0.084376,0.08627450980392157
83,0.0865,0.08627450980392157
84,0.088656,0.09019607843137255
85,0.090842,0.09019607843137255
86,0.093059,0.09411764705882353
87,0.095307,0.09411764705882353
88,0.097587,0.09803921568627451
89,0.099899,0.09803921568627451
90,0.102242,0.10196078431372549
91,0.104616,0.10588235294117647
92,0.107023,0.10588235294117647
93,0.109462,0.10980392156862745
94,0.111932,0.11372549019607843
95,0.114435,0.11372549019607843
96,0.116971,0.11764705882352941
97,0.119538,0.11764705882352941
98,0.122139,0.12156862745098039
99,0.124772,0.12549019607843137
100,0.127438,0.12549019607843137
101,0.130137,0.12941176470588237
102,0.132868,0.13333333333333333
103,0.135633,0.13725490196078433
