2026/09/20 21:38:31.683, 125.86, 68, 3, 1893, 465, 10501
2026/09/20 21:39:01.720, 93.79, 60, 5, 2807, 210, 10501
2026/09/20 21:39:31.764, 92.89, 58, 6, 2796, 210, 10501
2026/09/20 21:40:01.800, 92.47, 57, 5, 2799, 210, 10501
2026/09/20 21:40:31.843, 92.40, 56, 4, 2797, 210, 10501
2026/09/20 21:41:01.877, 91.79, 56, 4, 2797, 210, 10501
2026/09/20 21:41:31.920, 91.69, 56, 6, 2801, 210, 10501
2026/09/20 21:42:01.961, 92.24, 56, 4, 2803, 210, 10501
2026/09/20 21:42:31.998, 92.44, 56, 0, 2736, 270, 10501
2026/09/20 21:43:02.033, 92.52, 56, 1, 2728, 210, 10501
2026/09/20 21:43:32.071, 92.02, 56, 0, 3026, 210, 10501
2026/09/20 21:44:02.113, 91.89, 56, 0, 3032, 210, 10501
2026/09/20 21:44:32.153, 246.04, 66, 100, 3052, 2010, 10501
2026/09/20 21:45:02.198, 251.27, 69, 100, 3056, 1995, 10501
2026/09/20 21:45:32.242, 265.86, 70, 100, 3056, 1995, 10501
