2026/09/20 21:28:10.827, 103.05, 58, 4, 1848, 390, 10501
2026/09/20 21:28:40.873, 92.64, 57, 4, 2739, 210, 10501
2026/09/20 21:29:10.918, 92.97, 57, 6, 2738, 210, 10501
2026/09/20 21:29:40.952, 92.29, 56, 5, 2739, 210, 10501
2026/09/20 21:30:10.991, 92.87, 56, 5, 2739, 210, 10501
2026/09/20 21:30:41.038, 92.65, 56, 0, 2673, 210, 10501
2026/09/20 21:31:11.070, 91.40, 56, 0, 2617, 210, 10501
2026/09/20 21:31:41.114, 91.60, 56, 1, 2626, 210, 10501
2026/09/20 21:32:11.155, 91.52, 55, 0, 2619, 210, 10501
2026/09/20 21:32:41.193, 91.22, 55, 1, 2621, 210, 10501
2026/09/20 21:33:11.238, 91.04, 55, 0, 2653, 210, 10501
2026/09/20 21:33:41.271, 91.63, 55, 1, 2653, 210, 10501
2026/09/20 21:34:11.316, 92.17, 55, 5, 2872, 210, 10501
2026/09/20 21:34:41.355, 368.19, 71, 99, 3152, 1995, 10501
2026/09/20 21:35:11.399, 364.94, 75, 100, 3157, 1980, 10501
2026/09/20 21:35:41.441, 360.43, 76, 100, 3156, 1980, 10501
2026/09/20 21:36:11.481, 332.67, 77, 100, 3151, 1980, 10501
2026/09/20 21:36:41.523, 385.17, 78, 100, 3094, 1980, 10501
2026/09/20 21:37:11.560, 379.01, 78, 100, 3065, 1980, 10501
2026/09/20 21:37:41.601, 372.51, 78, 100, 3055, 1980, 10501
2026/09/20 21:38:11.636, 368.97, 79, 100, 3055, 1980, 10501
