scene,variant,width,height,spp,process_seconds,render_total_seconds,first_dispatch_seconds,steady_504spp_seconds,steady_512spp_estimate_seconds,steady_median_dispatch_seconds,steady_p10_seconds,steady_p90_seconds,camera_msamples_per_second,frame_total_seconds,linear_mean,linear_max,linear_nonfinite
monster,d3d12,1024,1024,512,28.05111409999995,23.220207899999995,19.2624823,3.957725599999999,4.02054664126984,0.06275889999999999,0.0599995,0.06539538,133.53182039704828,23.258370200000005,0.21427198679698126,6.735960006713867,0
monster,vulkan,1024,1024,512,104.16058380000004,98.22906669999999,92.1819388,6.0471279000000004,6.143114057142857,0.0958415,0.0912175,0.09991656,87.39393522667181,98.2659494,0.21433347113757342,6.59871244430542,0
monster,cuda,1024,1024,512,248.4264704000002,242.1878692,67.9700312,174.21783799999997,176.9832005079365,2.767411,2.75385932,2.7778888399999997,3.033456906978722,242.1942082,0.214343374815128,6.564763069152832,0
monster,optix,1024,1024,512,104.1842316000002,98.84168890000001,56.5715025,42.27018639999999,42.941141739682536,0.6712442,0.6677031,0.6734899599999999,12.502483405183188,98.8478747,0.21433999036506854,6.561953067779541,0
classroom,d3d12,1920,1080,512,88.13498400000026,82.3484405,62.9715029,19.376937599999994,19.68450803809523,0.30739679999999997,0.30408051999999997,0.31140454,53.93496235442283,82.39751460000001,0.4331596418143639,13.566983222961426,0
classroom,vulkan,1920,1080,512,282.45931759999985,277.3518878,254.0702201,23.2816677,23.65121798095238,0.3692109,0.36569545999999997,0.3739537,44.88915542764147,277.46470409999995,0.4335220614326707,13.545522689819336,0
classroom,cuda,1920,1080,512,620.8986679,615.1575770999999,371.9350331,243.22254399999997,247.08321930158726,3.8568119999999997,3.82544608,3.90907644,4.296864849830698,615.1651923000001,0.4312744316714091,13.56865119934082,0
classroom,optix,1920,1080,512,442.63124860000016,438.42341000000005,334.2568711,104.16653889999999,105.81997602539681,1.6522576,1.6436616,1.66547664,10.032918545976571,438.4323883999999,0.43127470560265424,13.55771255493164,0
junkshop,d3d12,2000,1000,512,54.08375550000028,36.610369000000006,32.5616245,4.0487445,4.113010285714285,0.0643489,0.059799279999999996,0.06872734,248.96606837008363,36.65522530000001,0.04978475921880419,3.7798986434936523,0
junkshop,vulkan,2000,1000,512,174.24845830000004,159.52085590000002,154.76822239999998,4.7526335,4.828072126984127,0.0752785,0.07172719999999999,0.07924988000000001,212.09293752611052,159.56851999999998,0.04979845015274011,3.797830104827881,0
junkshop,cuda,2000,1000,512,306.4982974000004,288.176695,91.9512396,196.22545540000002,199.340145168254,3.1164785000000004,3.0511753,3.17887946,5.136948200452488,288.1861116,0.04980043265276229,3.8039629459381104,0
junkshop,optix,2000,1000,512,116.20725270000003,96.6715571,61.455568899999996,35.2159882,35.77497213968254,0.5592879000000001,0.55454224,0.56215512,28.623362612326183,96.6795739,0.049799407350424096,3.8019847869873047,0
