2026/09/20 21:49:42.649, 182.87, 59, 0, 1805, 2010, 10501
2026/09/20 21:50:12.696, 91.66, 56, 0, 5568, 210, 10501
2026/09/20 21:50:42.740, 104.96, 57, 2, 6099, 1860, 10501
2026/09/20 21:51:12.778, 92.66, 56, 5, 6088, 210, 10501
2026/09/20 21:51:42.831, 359.13, 69, 100, 6363, 1995, 10501
2026/09/20 21:52:12.872, 308.18, 73, 100, 6353, 1995, 10501
2026/09/20 21:52:42.911, 325.76, 70, 100, 6350, 1980, 10501
2026/09/20 21:53:12.961, 362.73, 76, 100, 6350, 1980, 10501
2026/09/20 21:53:43.005, 276.69, 76, 100, 6350, 1980, 10501
2026/09/20 21:54:13.047, 317.25, 71, 100, 6350, 1980, 10501
2026/09/20 21:54:43.085, 374.06, 77, 100, 6351, 1980, 10501
