2026/09/20 21:23:28.399, 125.40, 60, 2, 2036, 2010, 10501
2026/09/20 21:23:58.438, 92.38, 57, 5, 3152, 210, 10501
2026/09/20 21:24:28.481, 91.75, 56, 4, 3134, 210, 10501
2026/09/20 21:24:58.520, 91.59, 56, 5, 3118, 210, 10501
2026/09/20 21:25:28.555, 91.88, 55, 5, 3125, 210, 10501
2026/09/20 21:25:58.598, 91.14, 55, 4, 3107, 210, 10501
2026/09/20 21:26:28.638, 91.74, 56, 4, 3098, 210, 10501
2026/09/20 21:26:58.677, 91.61, 55, 5, 3098, 210, 10501
2026/09/20 21:27:28.723, 91.07, 55, 7, 3093, 210, 10501
2026/09/20 21:27:58.775, 172.26, 60, 57, 2985, 2010, 10501
