frame,domain,stage,value
8,cpu_ms,scene_registration,1.486000
8,cpu_ms,scene_update,9.673200
8,cpu_ms,software_prepare,1.325600
8,count,gpu_timestamps,0
8,count,instances,48
8,count,optix_hardware_traversal,1
9,cpu_ms,develop,0.095500
9,cpu_ms,develop_submit,0.069500
9,cpu_ms,develop_wait,0.000200
9,cpu_ms,frame_wall,551.713600
9,cpu_ms,light_selection_record,0.027900
9,cpu_ms,preprocess_submit,6.265100
9,cpu_ms,render_setup,0.090500
9,cpu_ms,render_submit,541.369000
9,cpu_ms,render_wait,0.000600
9,cpu_ms,render_wall,551.617500
9,cpu_ms,scene_metadata,0.023000
9,cpu_ms,scene_registration,2.514800
9,cpu_ms,scene_update,10.144000
9,cpu_ms,software_prepare,1.310700
9,count,gpu_timestamps,0
9,count,instances,48
9,count,optix_hardware_traversal,1
10,cpu_ms,develop,0.102500
10,cpu_ms,develop_submit,0.071400
10,cpu_ms,develop_wait,0.000200
10,cpu_ms,frame_wall,554.742800
10,cpu_ms,light_selection_record,0.042500
10,cpu_ms,preprocess_submit,7.621200
10,cpu_ms,render_setup,0.092100
10,cpu_ms,render_submit,543.501800
10,cpu_ms,render_wait,0.000500
10,cpu_ms,render_wall,554.639600
10,cpu_ms,scene_metadata,0.023000
10,cpu_ms,scene_registration,1.457400
10,cpu_ms,scene_update,11.033700
10,cpu_ms,software_prepare,1.887100
10,count,gpu_timestamps,0
10,count,instances,48
10,count,optix_hardware_traversal,1
11,cpu_ms,develop,0.124900
11,cpu_ms,develop_submit,0.088300
11,cpu_ms,develop_wait,0.000400
11,cpu_ms,frame_wall,553.708600
11,cpu_ms,light_selection_record,0.020300
11,cpu_ms,preprocess_submit,7.751200
11,cpu_ms,render_setup,0.093200
11,cpu_ms,render_submit,542.788700
11,cpu_ms,render_wait,0.000700
11,cpu_ms,render_wall,553.583000
11,cpu_ms,scene_metadata,0.022800
11,cpu_ms,scene_registration,1.561600
11,cpu_ms,scene_update,10.689000
11,cpu_ms,software_prepare,1.329800
11,count,gpu_timestamps,0
11,count,instances,48
11,count,optix_hardware_traversal,1
12,cpu_ms,develop,0.101500
12,cpu_ms,develop_submit,0.074800
12,cpu_ms,develop_wait,0.000200
12,cpu_ms,frame_wall,553.577500
12,cpu_ms,light_selection_record,0.032800
12,cpu_ms,preprocess_submit,6.037100
12,cpu_ms,render_setup,0.089100
12,cpu_ms,render_submit,543.171200
12,cpu_ms,render_wait,0.000700
12,cpu_ms,render_wall,553.475200
12,cpu_ms,scene_metadata,0.022200
12,cpu_ms,scene_registration,2.741400
12,cpu_ms,scene_update,10.202300
12,cpu_ms,software_prepare,1.365800
12,count,gpu_timestamps,0
12,count,instances,48
12,count,optix_hardware_traversal,1
13,cpu_ms,develop,0.091800
13,cpu_ms,develop_submit,0.070000
13,cpu_ms,develop_wait,0.000200
13,cpu_ms,frame_wall,556.055400
13,cpu_ms,light_selection_record,0.020200
13,cpu_ms,preprocess_submit,6.534800
13,cpu_ms,render_setup,0.044100
13,cpu_ms,render_submit,546.533600
13,cpu_ms,render_wait,0.000500
13,cpu_ms,render_wall,555.963000
13,cpu_ms,scene_metadata,0.022900
13,cpu_ms,scene_registration,1.463200
13,cpu_ms,scene_update,9.373400
13,cpu_ms,software_prepare,1.329500
13,count,gpu_timestamps,0
13,count,instances,48
13,count,optix_hardware_traversal,1
14,cpu_ms,develop,0.095000
14,cpu_ms,develop_submit,0.069200
14,cpu_ms,develop_wait,0.000100
14,cpu_ms,frame_wall,558.098500
14,cpu_ms,light_selection_record,0.523800
14,cpu_ms,preprocess_submit,7.428900
14,cpu_ms,render_setup,0.055700
14,cpu_ms,render_submit,546.855000
14,cpu_ms,render_wait,0.000600
14,cpu_ms,render_wall,558.002800
14,cpu_ms,scene_metadata,0.022800
14,cpu_ms,scene_registration,1.448500
14,cpu_ms,scene_update,11.079400
14,cpu_ms,software_prepare,1.652500
14,count,gpu_timestamps,0
14,count,instances,48
14,count,optix_hardware_traversal,1
15,cpu_ms,develop,0.093200
15,cpu_ms,develop_submit,0.069700
15,cpu_ms,develop_wait,0.000100
15,cpu_ms,frame_wall,560.995700
15,cpu_ms,light_selection_record,0.019400
15,cpu_ms,preprocess_submit,7.786100
15,cpu_ms,render_setup,0.093200
15,cpu_ms,render_submit,550.167600
15,cpu_ms,render_wait,0.000600
15,cpu_ms,render_wall,560.901800
15,cpu_ms,scene_metadata,0.023600
15,cpu_ms,scene_registration,1.465700
15,cpu_ms,scene_update,10.628200
15,cpu_ms,software_prepare,1.330500
15,count,gpu_timestamps,0
15,count,instances,48
15,count,optix_hardware_traversal,1
16,cpu_ms,develop,0.093800
16,cpu_ms,develop_submit,0.069300
16,cpu_ms,develop_wait,0.000200
16,cpu_ms,frame_wall,558.431800
16,cpu_ms,light_selection_record,0.019100
16,cpu_ms,preprocess_submit,7.704400
16,cpu_ms,render_setup,0.045600
16,cpu_ms,render_submit,547.731900
16,cpu_ms,render_wait,0.000700
16,cpu_ms,render_wall,558.337300
16,cpu_ms,scene_metadata,0.022700
16,cpu_ms,scene_registration,1.469200
16,cpu_ms,scene_update,10.546400
16,cpu_ms,software_prepare,1.328600
16,count,gpu_timestamps,0
16,count,instances,48
16,count,optix_hardware_traversal,1
17,cpu_ms,develop,0.126500
17,cpu_ms,develop_submit,0.101700
17,cpu_ms,develop_wait,0.000400
17,cpu_ms,frame_wall,558.950200
17,cpu_ms,light_selection_record,0.032500
17,cpu_ms,preprocess_submit,6.933600
17,cpu_ms,render_setup,0.090500
17,cpu_ms,render_submit,548.928300
17,cpu_ms,render_wait,0.000800
17,cpu_ms,render_wall,558.822900
17,cpu_ms,scene_metadata,0.023100
17,cpu_ms,scene_registration,1.482700
17,cpu_ms,scene_update,9.791600
17,cpu_ms,software_prepare,1.317200
17,count,gpu_timestamps,0
17,count,instances,48
17,count,optix_hardware_traversal,1
18,cpu_ms,develop,0.093100
18,cpu_ms,develop_submit,0.068600
18,cpu_ms,develop_wait,0.000200
18,cpu_ms,frame_wall,557.207900
18,cpu_ms,light_selection_record,0.019200
18,cpu_ms,preprocess_submit,7.109400
18,cpu_ms,render_setup,0.088600
18,cpu_ms,render_submit,545.183600
18,cpu_ms,render_wait,0.001200
18,cpu_ms,render_wall,557.113900
18,cpu_ms,scene_metadata,0.074100
18,cpu_ms,scene_registration,3.236400
18,cpu_ms,scene_update,11.828800
18,cpu_ms,software_prepare,1.386700
18,count,gpu_timestamps,0
18,count,instances,48
18,count,optix_hardware_traversal,1
19,cpu_ms,develop,0.092000
19,cpu_ms,develop_submit,0.069100
19,cpu_ms,develop_wait,0.000200
19,cpu_ms,frame_wall,554.304600
19,cpu_ms,light_selection_record,0.023900
19,cpu_ms,preprocess_submit,6.770300
19,cpu_ms,render_setup,0.094000
19,cpu_ms,render_submit,544.149600
19,cpu_ms,render_wait,0.000800
19,cpu_ms,render_wall,554.211800
19,cpu_ms,scene_metadata,0.021500
19,cpu_ms,scene_registration,1.412400
19,cpu_ms,scene_update,9.953400
19,cpu_ms,software_prepare,1.723000
19,count,gpu_timestamps,0
19,count,instances,48
19,count,optix_hardware_traversal,1
20,cpu_ms,develop,0.126800
20,cpu_ms,develop_submit,0.088100
20,cpu_ms,develop_wait,0.000400
20,cpu_ms,frame_wall,558.179300
20,cpu_ms,light_selection_record,0.020100
20,cpu_ms,preprocess_submit,7.139000
20,cpu_ms,render_setup,0.090200
20,cpu_ms,render_submit,546.687400
20,cpu_ms,render_wait,0.000500
20,cpu_ms,render_wall,558.051500
20,cpu_ms,scene_metadata,0.074900
20,cpu_ms,scene_registration,2.636700
20,cpu_ms,scene_update,11.262100
20,cpu_ms,software_prepare,1.389000
20,count,gpu_timestamps,0
20,count,instances,48
20,count,optix_hardware_traversal,1
21,cpu_ms,develop,0.092000
21,cpu_ms,develop_submit,0.068800
21,cpu_ms,develop_wait,0.000200
21,cpu_ms,frame_wall,562.523800
21,cpu_ms,light_selection_record,0.024700
21,cpu_ms,preprocess_submit,7.698300
21,cpu_ms,render_setup,0.090100
21,cpu_ms,render_submit,549.810900
21,cpu_ms,render_wait,0.000600
21,cpu_ms,render_wall,562.431000
21,cpu_ms,scene_metadata,0.023300
21,cpu_ms,scene_registration,3.330800
21,cpu_ms,scene_update,12.517100
21,cpu_ms,software_prepare,1.437400
21,count,gpu_timestamps,0
21,count,instances,48
21,count,optix_hardware_traversal,1
22,cpu_ms,develop,0.139400
22,cpu_ms,develop_submit,0.103900
22,cpu_ms,develop_wait,0.000200
22,cpu_ms,frame_wall,560.933400
22,cpu_ms,light_selection_record,0.028600
22,cpu_ms,preprocess_submit,7.453100
22,cpu_ms,render_setup,0.095100
22,cpu_ms,render_submit,548.931200
22,cpu_ms,render_wait,0.001200
22,cpu_ms,render_wall,560.793300
22,cpu_ms,scene_metadata,0.022800
22,cpu_ms,scene_registration,2.052900
22,cpu_ms,scene_update,11.753300
22,cpu_ms,software_prepare,2.193600
22,count,gpu_timestamps,0
22,count,instances,48
22,count,optix_hardware_traversal,1
23,cpu_ms,develop,0.145700
23,cpu_ms,develop_submit,0.110100
23,cpu_ms,develop_wait,0.000300
23,cpu_ms,frame_wall,558.124500
23,cpu_ms,light_selection_record,0.027100
23,cpu_ms,preprocess_submit,7.265200
23,cpu_ms,render_setup,0.092700
23,cpu_ms,render_submit,545.428200
23,cpu_ms,render_wait,0.000600
23,cpu_ms,render_wall,557.978200
