frame,domain,stage,value
8,cpu_ms,software_prepare,38.692000
8,count,gpu_timestamps,0
8,count,instances,928
8,count,native_ray_query,1
9,cpu_ms,develop,0.460600
9,cpu_ms,develop_submit,0.102800
9,cpu_ms,develop_wait,0.125200
9,cpu_ms,frame_wall,308.212800
9,cpu_ms,light_selection_record,0.147700
9,cpu_ms,preprocess_submit,4.447400
9,cpu_ms,render_setup,6.672000
9,cpu_ms,render_submit,0.619700
9,cpu_ms,render_wait,103.957200
9,cpu_ms,render_wall,307.750800
9,cpu_ms,scene_metadata,0.177300
9,cpu_ms,scene_registration,151.946400
9,cpu_ms,scene_update,196.391900
9,cpu_ms,software_prepare,39.666900
9,count,gpu_timestamps,0
9,count,instances,928
9,count,native_ray_query,1
10,cpu_ms,develop,0.727100
10,cpu_ms,develop_submit,0.162500
10,cpu_ms,develop_wait,0.141000
10,cpu_ms,frame_wall,305.251900
10,cpu_ms,light_selection_record,0.181200
10,cpu_ms,preprocess_submit,4.296400
10,cpu_ms,render_setup,6.658100
10,cpu_ms,render_submit,0.621000
10,cpu_ms,render_wait,104.462300
10,cpu_ms,render_wall,304.522000
10,cpu_ms,scene_metadata,0.178000
10,cpu_ms,scene_registration,149.517500
10,cpu_ms,scene_update,192.690500
10,cpu_ms,software_prepare,38.512800
10,count,gpu_timestamps,0
10,count,instances,928
10,count,native_ray_query,1
11,cpu_ms,develop,0.441900
11,cpu_ms,develop_submit,0.118600
11,cpu_ms,develop_wait,0.104800
11,cpu_ms,frame_wall,311.137000
11,cpu_ms,light_selection_record,0.261200
11,cpu_ms,preprocess_submit,4.192800
11,cpu_ms,render_setup,6.754100
11,cpu_ms,render_submit,0.818900
11,cpu_ms,render_wait,106.504000
11,cpu_ms,render_wall,310.693400
11,cpu_ms,scene_metadata,0.176800
11,cpu_ms,scene_registration,153.281600
11,cpu_ms,scene_update,196.512000
11,cpu_ms,software_prepare,38.594600
11,count,gpu_timestamps,0
11,count,instances,928
11,count,native_ray_query,1
12,cpu_ms,develop,0.609400
12,cpu_ms,develop_submit,0.138500
12,cpu_ms,develop_wait,0.109600
12,cpu_ms,frame_wall,314.805700
12,cpu_ms,light_selection_record,0.235700
12,cpu_ms,preprocess_submit,3.862300
12,cpu_ms,render_setup,7.232800
12,cpu_ms,render_submit,0.714200
12,cpu_ms,render_wait,103.958700
12,cpu_ms,render_wall,314.194600
12,cpu_ms,scene_metadata,0.179000
12,cpu_ms,scene_registration,159.502200
12,cpu_ms,scene_update,202.204700
12,cpu_ms,software_prepare,38.420100
12,count,gpu_timestamps,0
12,count,instances,928
12,count,native_ray_query,1
13,cpu_ms,develop,0.334000
13,cpu_ms,develop_submit,0.072900
13,cpu_ms,develop_wait,0.099500
13,cpu_ms,frame_wall,307.977400
13,cpu_ms,light_selection_record,0.152700
13,cpu_ms,preprocess_submit,4.126400
13,cpu_ms,render_setup,6.554000
13,cpu_ms,render_submit,0.509700
13,cpu_ms,render_wait,104.906300
13,cpu_ms,render_wall,307.642500
13,cpu_ms,scene_metadata,0.176200
13,cpu_ms,scene_registration,152.569800
13,cpu_ms,scene_update,195.602600
13,cpu_ms,software_prepare,38.572000
13,count,gpu_timestamps,0
13,count,instances,928
13,count,native_ray_query,1
14,cpu_ms,develop,0.528100
14,cpu_ms,develop_submit,0.111900
14,cpu_ms,develop_wait,0.103800
14,cpu_ms,frame_wall,306.229300
14,cpu_ms,light_selection_record,0.213500
14,cpu_ms,preprocess_submit,4.248200
14,cpu_ms,render_setup,6.470500
14,cpu_ms,render_submit,0.639600
14,cpu_ms,render_wait,104.170800
14,cpu_ms,render_wall,305.699300
14,cpu_ms,scene_metadata,0.178300
14,cpu_ms,scene_registration,150.079500
14,cpu_ms,scene_update,194.324000
14,cpu_ms,software_prepare,39.598200
14,count,gpu_timestamps,0
14,count,instances,928
14,count,native_ray_query,1
15,cpu_ms,develop,0.521400
15,cpu_ms,develop_submit,0.184800
15,cpu_ms,develop_wait,0.102300
15,cpu_ms,frame_wall,303.910100
15,cpu_ms,light_selection_record,0.206500
15,cpu_ms,preprocess_submit,3.849400
15,cpu_ms,render_setup,6.404500
15,cpu_ms,render_submit,0.578000
15,cpu_ms,render_wait,103.962600
15,cpu_ms,render_wall,303.387800
15,cpu_ms,scene_metadata,0.177300
15,cpu_ms,scene_registration,149.334200
15,cpu_ms,scene_update,192.390000
15,cpu_ms,software_prepare,38.817900
15,count,gpu_timestamps,0
15,count,instances,928
15,count,native_ray_query,1
16,cpu_ms,develop,0.583400
16,cpu_ms,develop_submit,0.113700
16,cpu_ms,develop_wait,0.140100
16,cpu_ms,frame_wall,305.944200
16,cpu_ms,light_selection_record,0.150400
16,cpu_ms,preprocess_submit,4.423900
16,cpu_ms,render_setup,6.575100
16,cpu_ms,render_submit,0.556700
16,cpu_ms,render_wait,103.823800
16,cpu_ms,render_wall,305.358500
16,cpu_ms,scene_metadata,0.179200
16,cpu_ms,scene_registration,151.084500
16,cpu_ms,scene_update,194.326100
16,cpu_ms,software_prepare,38.482100
16,count,gpu_timestamps,0
16,count,instances,928
16,count,native_ray_query,1
17,cpu_ms,develop,0.501600
17,cpu_ms,develop_submit,0.167900
17,cpu_ms,develop_wait,0.106500
17,cpu_ms,frame_wall,305.851900
17,cpu_ms,light_selection_record,0.219800
17,cpu_ms,preprocess_submit,3.746700
17,cpu_ms,render_setup,7.148700
17,cpu_ms,render_submit,0.617400
17,cpu_ms,render_wait,102.017300
17,cpu_ms,render_wall,305.348500
17,cpu_ms,scene_metadata,0.176900
17,cpu_ms,scene_registration,152.158600
17,cpu_ms,scene_update,195.484400
17,cpu_ms,software_prepare,39.177800
17,count,gpu_timestamps,0
17,count,instances,928
17,count,native_ray_query,1
18,cpu_ms,develop,0.524000
18,cpu_ms,develop_submit,0.146900
18,cpu_ms,develop_wait,0.100900
18,cpu_ms,frame_wall,310.148600
18,cpu_ms,light_selection_record,0.276400
18,cpu_ms,preprocess_submit,4.041000
18,cpu_ms,render_setup,6.386000
18,cpu_ms,render_submit,0.504400
18,cpu_ms,render_wait,105.703700
18,cpu_ms,render_wall,309.623300
18,cpu_ms,scene_metadata,0.178000
18,cpu_ms,scene_registration,153.304200
18,cpu_ms,scene_update,196.953300
18,cpu_ms,software_prepare,39.148800
18,count,gpu_timestamps,0
18,count,instances,928
18,count,native_ray_query,1
19,cpu_ms,develop,0.336600
19,cpu_ms,develop_submit,0.075600
